listing_id,url,address_line1,address_line2,full_address,price,bedrooms,bathrooms,parking,property_type,image_url,image_urls,agent_name,agency_name,agency_logo_url,inspection_time,status,distance_bella_vista_mins,distance_rnsh_mins,distance_qvb_mins
2020417738,https://www.domain.com.au/80-35-39-fontenoy-road-macquarie-park-nsw-2113-2020417738,"80/35-39 Fontenoy Road,",MACQUARIE PARK,"80/35-39 Fontenoy Road, MACQUARIE PARK",For Sale | $750k - $800k,2,1,2,Apartment / Unit / Flat,https://rimh2.domainstatic.com.au/Ou32IHiDR0zvtTiOLHKpQDxwNwU=/660x440/filters:format(jpeg):quality(80)/2020417738_1_1_251112_055251-w2048-h1366,https://rimh2.domainstatic.com.au/Ou32IHiDR0zvtTiOLHKpQDxwNwU=/660x440/filters:format(jpeg):quality(80)/2020417738_1_1_251112_055251-w2048-h1366;https://rimh2.domainstatic.com.au/I7xLmyukceRA2Ml4jv7UbIXs2yA=/660x440/filters:format(jpeg):quality(80)/2020417738_2_1_251112_055251-w2048-h1364,Kevin  Wong,Ray White Epping SYD,https://rimh2.domainstatic.com.au/Cjsw0Na50Wzsm1Gx15-PJwTCVKk=/170x60/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/Agencys/4751/logo_4751.jpg?buster=2026-01-04,,For Sale,56.0,41.0,45.0
2020382293,https://www.domain.com.au/213-414-pacific-highway-lindfield-nsw-2070-2020382293,"213/414 Pacific Highway,",LINDFIELD,"213/414 Pacific Highway, LINDFIELD",For Sale - Contact Agent,2,2,1,Apartment / Unit / Flat,https://rimh2.domainstatic.com.au/7Xe4GDwphL4fJi1QZPLmM6RdBxg=/660x440/filters:format(jpeg):quality(80)/2020382293_1_1_251029_111200-w4500-h3000,https://rimh2.domainstatic.com.au/7Xe4GDwphL4fJi1QZPLmM6RdBxg=/660x440/filters:format(jpeg):quality(80)/2020382293_1_1_251029_111200-w4500-h3000;https://rimh2.domainstatic.com.au/mIR3S_HFJQTbiY2qHFL-GURcxx0=/660x440/filters:format(jpeg):quality(80)/2020382293_2_1_251029_111200-w4500-h3004,Andrew Braid,Stone Real Estate Lindfield,https://rimh2.domainstatic.com.au/HVaTR704YKIUoMpn1c4lwNNSW48=/170x60/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/Agencys/27381/logo_27381.png?buster=2026-01-04,"Sat 10 Jan, 11:00am",For Sale,71.0,28.0,39.0
2020031362,https://www.domain.com.au/46-5-15-boundary-street-roseville-nsw-2069-2020031362,"46/5-15 Boundary Street,",ROSEVILLE,"46/5-15 Boundary Street, ROSEVILLE","$998,000",2,2,1,Apartment / Unit / Flat,https://rimh2.domainstatic.com.au/j8ZUK-m3bV391R9Hrs1SpwmTl8w=/660x440/filters:format(jpeg):quality(80)/15950409_2_1_230109_105320-w2500-h1667,"https://rimh2.domainstatic.com.au/j8ZUK-m3bV391R9Hrs1SpwmTl8w=/660x440/filters:format(jpeg):quality(80)/15950409_2_1_230109_105320-w2500-h1667;https://rimh2.domainstatic.com.au/YRlOFlMnYoif4XKXiCAbMohD6PI=/660x440/filters:format(jpeg):quality(80)/15950409_5_1_230109_105320-w2500-h1667;https://rimh2.domainstati
c.com.au/j8ZUK-m3bV391R9Hrs1SpwmTl8w=/660x440/filters:format(jpeg):quality(80)/15950409_2_1_230109_105320-w2500-h1667",DU YANG,SY REALTY,https://rimh2.domainstatic.com.au/BjApIywJCExe9yLu9Fm_Igbijj8=/170x60/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/Agencys/30902/logo_30902.png?buster=2026-01-04,,,70.0,26.0,38.0
2019570348,https://www.domain.com.au/12-173-herring-road-macquarie-park-nsw-2113-2019570348,"12/173 Herring Road,",MACQUARIE PARK,"12/173 Herring Road, MACQUARIE PARK",FOR SALE,2,1,1,Apartment / Unit / Flat,https://rimh2.domainstatic.com.au/FbKqqlQAXP31Z6ODzclJ4sUG514=/660x440/filters:format(jpeg):quality(80)/2019570348_5_1_241017_112546-w1000-h665,https://rimh2.domainstatic.com.au/FbKqqlQAXP31Z6ODzclJ4sUG514=/660x440/filters:format(jpeg):quality(80)/2019570348_5_1_241017_112546-w1000-h665;https://rimh2.domainstatic.com.au/hiNPaIiEB_TuDpnvYQd3YN18WIs=/660x440/filters:format(jpeg):quality(80)/2019570348_2_1_241017_113225-w1000-h666,Tim Cale,Cale Property Agents,"https://rimh2.domainstatic.com.au/3GnuhngkiSH6U4dxeqcD79OEzyE=/170x60/filters:format(jpeg):quality(80)/https://images.domain.
com.au/img/Agencys/4534/logo_4534.png?buster=2026-01-04",,For Sale,31.0,32.0,31.0
2020501954,https://www.domain.com.au/2-7-9-may-street-eastwood-nsw-2122-2020501954,"2/7-9 May Street,",EASTWOOD,"2/7-9 May Street, EASTWOOD","Auction Guide $720,000",2,1,1,Apartment / Unit / Flat,https://rimh2.domainstatic.com.au/vGhz4M5cuyyGwgsZcwWaem_Xvp4=/660x440/filters:format(jpeg):quality(80)/2020501954_1_1_251226_013206-w7777-h5187,"https://rimh2.domainstatic.com.au/vGhz4M5cuyyGwgsZcwWaem_Xvp4=/660x440/filters:format(jpeg):quality(80)/2020501954_1_1_251226_013206-w7777-h5187;https://rimh2.domainstatic.com.au/MnMXbKe6Zy3EYJ1z201ja_QbyIU=/660x440/filters:format(jpeg):quali
ty(80)/2020501954_2_1_251226_013206-w8192-h5464;https://rimh2.domainstatic.com.au/MnMXbKe6Zy3EYJ1z201ja_QbyIU=/660x440/filters:format(jpeg):quality(80)/2020501954_2_1_251226_013206-w8192-h5464",Betty Ockerlander,McGrath Epping,https://rimh2.domainstatic.com.au/MdEHmmaLBsWeBi2OQ_FNmHN4uNM=/170x60/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/Agencys/361/logo_361.png?buster=2026-01-04,"Sat 10 Jan, 3:15pm",,43.0,51.0,49.0
2020417260,https://www.domain.com.au/6-22-may-street-eastwood-nsw-2122-2020417260,"6/22 May Street,",EASTWOOD,"6/22 May Street, EASTWOOD",Auction (If not sold prior),2,1,1,Apartment / Unit / Flat,"https://rimh2.domainstatic.com.au/68l1qs9u-ZKwzYlnd8csGBNlz7M=/660x
440/filters:format(jpeg):quality(80)/2020417260_1_1_251112_051010-w2048-h1368","https://rimh2.domainstatic.com.au/68l1qs9u-ZKwzYlnd8csGBNlz7M=/660x
440/filters:format(jpeg):quality(80)/2020417260_1_1_251112_051010-w2048-h1368;https://rimh2.domainstatic.com.au/s4lus8UrVQou1T1xav9xPre21YE=/660x440/filters:format(jpeg):quality(80)/2020417260_2_1_251112_051010-w2048-h1369;https://rimh2.domainstatic.com.au/68l1qs9u-ZKwzYlnd8csGBNlz7M=/660x440/filters:format(jpeg):quality(80)/2020417260_1_1_251112_051010-w2048-h1368",Kevin  Wong,Ray White Epping SYD,https://rimh2.domainstatic.com.au/Cjsw0Na50Wzsm1Gx15-PJwTCVKk=/170x60/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/Agencys/4751/logo_4751.jpg?buster=2026-01-04,,Sold,44.0,51.0,49.0
2020279812,https://www.domain.com.au/2-77-79-adderton-road-telopea-nsw-2117-2020279812,"2/77-79 Adderton Road,",TELOPEA,"2/77-79 Adderton Road, TELOPEA","$690,000 - $729,000",2,1,1,Apartment / Unit / Flat,https://rimh2.domainstatic.com.au/9tCc0QzmdvBOEqJNwXyHzuE-Olc=/660x440/filters:format(jpeg):quality(80)/2020279812_1_1_250918_050724-w1500-h999,https://rimh2.domainstatic.com.au/9tCc0QzmdvBOEqJNwXyHzuE-Olc=/660x440/filters:format(jpeg):quality(80)/2020279812_1_1_250918_050724-w1500-h999;https://rimh2.domainstatic.com.au/AKGWQKWyEMxnz-VjcvsuIO4cIMc=/660x440/filters:format(jpeg):quality(80)/2020279812_2_1_250918_050724-w1500-h999,Michael  Brattoli,Showcase Realty,https://rimh2.domainstatic.com.au/t2pVII11tnT37UWnU1pHzAVK28A=/170x60/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/Agencys/17008/logo_17008.GIF?buster=2026-01-04,,,72.0,68.0,64.0
2020436423,https://www.domain.com.au/7-33-railway-parade-eastwood-nsw-2122-2020436423,"7/33 Railway Parade,",EASTWOOD,"7/33 Railway Parade, EASTWOOD",Auction Guide $700k,2,2,1,Apartment / Unit / Flat,https://rimh2.domainstatic.com.au/-kxbgOTDQOMrX0yZD-VRTODGpjU=/660x440/filters:format(jpeg):quality(80)/2020436423_1_1_251119_114549-w4240-h2832,https://rimh2.domainstatic.com.au/-kxbgOTDQOMrX0yZD-VRTODGpjU=/660x440/filters:format(jpeg):quality(80)/2020436423_1_1_251119_114549-w4240-h2832;https://rimh2.domainstatic.com.au/4YIehYka-IzurESzTRirhcpUizo=/660x440/filters:format(jpeg):quality(80)/2020436423_2_1_251119_114549-w4240-h2832,Kevin  Wong,Ray White Epping SYD,https://rimh2.domainstatic.com.au/Cjsw0Na50Wzsm1Gx15-PJwTCVKk=/170x60/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/Agencys/4751/logo_4751.jpg?buster=2026-01-04,,,52.0,47.0,46.0
2020099308,https://www.domain.com.au/1329-100-belmore-street-ryde-nsw-2112-2020099308,"1329/100 Belmore Street,",RYDE,"1329/100 Belmore Street, RYDE","Penthouse For Sale | $995,000",2,2,1,Apartment / Unit / Flat,https://rimh2.domainstatic.com.au/sqqQYpB4aNgkHnSPf8WuEeQRC3I=/660x440/filters:format(jpeg):quality(80)/2020099308_1_1_251020_035742-w3872-h2581,https://rimh2.domainstatic.com.au/sqqQYpB4aNgkHnSPf8WuEeQRC3I=/660x440/filters:format(jpeg):quality(80)/2020099308_1_1_251020_035742-w3872-h2581;https://rimh2.domainstatic.com.au/o4Tp37zQGa8YYfzlGnvGjX2DCug=/660x440/filters:format(jpeg):quality(80)/2020099308_2_1_251020_035742-w3872-h2581,James Sarzano,Stone Real Estate North Ryde,https://rimh2.domainstatic.com.au/2lAt0_BxGVXlSC9Y6jnAjPmuETQ=/170x60/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/Agencys/34542/logo_34542.png?buster=2026-01-04,,For Sale,69.0,43.0,44.0
2020454208,https://www.domain.com.au/1-271-blaxland-road-ryde-nsw-2112-2020454208,"1/271 Blaxland Road,",RYDE,"1/271 Blaxland Road, RYDE",For Sale,2,1,1,Apartment / Unit / Flat,https://rimh2.domainstatic.com.au/SPe5Nfy5SrD9j264MtgJ48R6jB4=/660x440/filters:format(jpeg):quality(80)/2020454208_1_1_251127_021326-w2560-h1705,https://rimh2.domainstatic.com.au/SPe5Nfy5SrD9j264MtgJ48R6jB4=/660x440/filters:format(jpeg):quality(80)/2020454208_1_1_251127_021326-w2560-h1705;https://rimh2.domainstatic.com.au/W-Pd7VVfQFSavEqtX_CNtIPjOjY=/660x440/filters:format(jpeg):quality(80)/2020454208_3_1_251127_021326-w2560-h1705,,,https://rimh2.domainstatic.com.au/o2WPNN1sjnSC29Bkrhur-icURqY=/170x60/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/Agencys/5572/logo_5572.GIF?buster=2026-01-04,,For Sale,78.0,43.0,43.0
